#Name			RA		Dec		vc	vchi	vclo	sigmac	sighi	siglo	r200	Ngal	C
ABELL_2122		236.259		36.1161		19793	28	42	826	52	47	1.80	91	0.92
ABELL_2124		236.263		36.1172		19783	41	32	826	52	47	1.78	90	0.92
ABELL_2145		240.094		33.2306		26583	80	23	632	69	56	1.40	24	0.87
ABELL_2149		240.350		53.9061		19564	63	44	459	31	27	1.01	20	0.85
ABELL_2169		243.422		49.1261		17286	30	50	521	38	33	1.24	40	0.82
ABELL_2175		245.132		29.8953		28876	61	64	878	66	57	1.76	58	0.87
ABELL_2199		247.154		39.5244		9118	15	30	747	20	19	1.77	269	0.92
ABELL_2241		254.928		32.6161		29403	70	68	806	73	62	1.61	37	0.90
ABELL_2244		255.663		34.0411		28927	50	57	428	59	49	0.99	23	0.94
ABELL_2245		255.640		33.5056		25686	40	49	535	44	39	1.28	39	0.95
ABELL_2255		258.222		64.0653		24052	19	39	883	38	35	1.86	184	0.91
ABELL_2428		334.065		-9.34139	25207	15	68	433	44	37	0.95	26	0.87
ABELL_2670		358.556		-10.4133	22755	29	20	642	32	29	1.46	137	0.94
MACS_J0810.3+4216	122.600		42.2733		19193	44	25	505	42	35	1.23	32	0.84
MACS_J1440.0+3707	220.011		37.0839		29402	88	46	587	62	49	1.31	18	0.91
NSC_J152902+524945	232.309		52.8433		22063	101	7	652	51	43	1.4	45	0.89
NSC_J161123+365846	242.854		36.9700		20221	39	25	485	45	39	1.17	30	0.86
RBS_1385		215.969		40.2619		24544	40	78	419	44	36	0.84	16	0.91
RXC_J0137.2-0912	24.3137		-9.20277	12169	27	30	453	35	30	0.93	49	0.92
RXC_J0828.6+3025	127.162		30.4280		14630	50	25	628	37	33	1.45	76	0.89
RXC_J0953.6+0142	148.393		1.70550		29450	24	63	584	70	59	1.30	22	0.96
RXC_J1115.5+5426	168.887		54.4350		20965	35	66	639	43	38	1.35	50	0.94
RXC_J1121.7+0249	170.428		2.81840		14807	25	14	567	46	41	1.40	73	0.85
RXC_J1351.7+4622	207.940		46.3668		18937	32	40	531	30	27	1.16	40	0.94
RXC_J1424.8+0240	216.159		2.75677		16337	44	57	539	44	36	1.19	22	0.91
RX_J1017.7-0002		154.452		-0.0595327	19169	44	28	413	47	39	0.90	16	0.91
RX_J1022.1+3830		155.583		38.5308		16300	37	38	591	38	33	1.35	51	0.82
RX_J1053.7+5450		163.449		54.8500		21623	23	49	665	51	45	1.52	46	0.86
WBL_238			146.732		54.4183		13995	51	17	602	34	30	1.30	44	0.87
WBL_518			220.179		3.45305		8141	19	28	454	22	20	1.03	103	0.85
ZwCl_0027.0-0036	7.31721		-0.183598	17994	18	44	465	42	36	0.99	36	0.85
ZwCl_0743.5+3110	116.655		31.0136		17419	49	89	694	51	45	1.40	29	0.82
ZwCl_1207.5+0542	182.578		5.38500		23137	43	36	580	46	40	1.20	40	0.91
ZwCl_1215.1+0400	184.422		3.66040		23229	22	40	955	43	39	2.17	130	0.90
ZwCl_1316.4-0044	199.816		-0.907816	24972	56	31	557	22	20	1.16	38	0.87
ZwCl_1730.4+5829	261.856		58.4749		8379	26	36	491	24	22	1.02	33	0.86
