#Name		R500	t	thi	tlo	lx	lxerr	fe	fehi	felo	Mgas	Mghi	Mglo	t2	t2hi	t2lo	lx2	lx2err	z2	z2hi	z2lo	Yx	Yxhi	Yxlo
1E0657-56	1.58	11.7	0.4	0.4	75.8	0.5	0.31	0.03	0.03	23.06	0.09	0.10	11.7	0.5	0.5	54.0	0.4	0.33	0.04	0.04	270.5	10.8	10.6
3C_28.0		1.25	5.3	0.1	0.1	12.6	0.1	0.36	0.04	0.04	8.79	0.08	0.06	7.1	0.4	0.4	9.3	0.1	0.30	0.07	0.07	62.4	3.5	3.4
ABELL_0068	1.19	8.1	0.9	0.8	16.7	0.6	0.39	0.17	0.16	7.83	0.15	0.13	6.5	1.0	0.7	9.3	0.5	0.46	0.22	0.21	51.0	7.8	5.7
ABELL_0209	1.30	7.1	0.4	0.4	17.6	0.3	0.26	0.07	0.07	10.83	0.08	0.09	7.3	0.5	0.5	12.2	0.3	0.29	0.10	0.09	78.7	5.4	5.3
ABELL_0267	1.04	4.9	0.3	0.3	11.1	0.5	0.49	0.18	0.17	5.74	0.10	0.07	4.6	0.5	0.4	7.0	0.5	0.64	0.27	0.24	26.5	2.6	2.4
ABELL_0383	0.98	3.9	0.1	0.1	9.1	0.2	0.48	0.06	0.06	4.07	0.04	0.04	4.2	0.4	0.2	3.6	0.1	0.35	0.12	0.11	17.1	1.7	0.8
ABELL_0520	1.31	7.1	0.2	0.2	17.6	0.2	0.42	0.04	0.04	11.11	0.05	0.07	7.2	0.3	0.3	14.2	0.1	0.43	0.05	0.05	80.0	2.9	3.0
ABELL_0521	1.18	5.1	0.2	0.2	13.9	0.3	0.42	0.07	0.07	10.56	0.05	0.09	5.0	0.2	0.2	12.2	0.2	0.43	0.08	0.08	53.1	1.9	1.9
ABELL_0586	1.16	6.6	0.4	0.3	13.3	0.3	0.60	0.12	0.12	6.24	0.07	0.07	6.4	0.6	0.5	6.5	0.3	0.84	0.23	0.21	40.1	3.6	3.2
ABELL_0665	1.37	7.5	0.2	0.2	21.0	0.2	0.34	0.04	0.04	12.77	0.05	0.07	7.5	0.3	0.3	15.2	0.2	0.34	0.06	0.05	96.0	3.7	3.7
ABELL_0697	1.41	9.0	0.6	0.5	36.5	0.6	0.43	0.08	0.08	15.57	0.17	0.12	8.8	0.7	0.6	24.4	0.5	0.47	0.10	0.10	137.1	11.2	10.0
ABELL_0773	1.25	7.4	0.3	0.3	17.2	0.3	0.48	0.06	0.06	9.09	0.06	0.06	7.0	0.4	0.4	10.9	0.3	0.57	0.09	0.08	63.9	3.8	3.5
ABELL_0781	1.10	5.6	0.6	0.6	10.8	0.5	0.47	0.18	0.17	7.80	0.14	0.10	5.3	0.7	0.4	9.2	0.5	0.53	0.21	0.19	41.7	5.9	3.5
ABELL_0907	1.12	5.3	0.1	0.1	10.4	0.1	0.49	0.03	0.03	5.44	0.03	0.03	5.6	0.3	0.3	4.8	0.1	0.36	0.05	0.05	30.6	1.4	1.5
ABELL_1063	1.42	11.1	0.8	0.9	43.2	0.6	0.08	0.06	0.06	12.11	0.08	0.09	10.4	1.4	0.9	16.4	0.4	0.13	0.13	0.13	126.5	16.7	10.9
ABELL_1204	0.92	3.4	0.1	0.1	9.2	0.2	0.37	0.05	0.05	3.10	0.21	0.06	3.8	0.3	0.3	2.7	0.1	0.13	0.10	0.10	11.8	1.1	0.8
ABELL_1240	0.92	3.9	0.3	0.3	1.7	0.1	0.19	0.10	0.09	2.75	0.04	0.03	3.9	0.3	0.3	1.6	0.1	0.18	0.11	0.10	10.8	0.9	0.9
ABELL_1413	1.26	7.2	0.2	0.2	15.9	0.1	0.41	0.03	0.03	7.95	0.04	0.05	7.0	0.3	0.3	7.4	0.1	0.34	0.05	0.05	55.8	2.3	2.1
ABELL_1682	1.13	6.2	0.8	0.8	10.0	0.6	0.42	0.27	0.25	7.07	0.13	0.12	6.1	1.1	0.9	7.5	0.5	0.33	0.34	0.30	42.9	7.9	6.5
ABELL_1689	1.37	9.0	0.3	0.3	36.7	0.3	0.42	0.04	0.04	11.26	0.11	0.06	8.4	0.4	0.3	14.3	0.2	0.40	0.07	0.07	95.1	4.7	3.7
ABELL_1763	1.32	7.8	0.4	0.4	19.6	0.3	0.29	0.07	0.07	11.47	0.10	0.07	7.7	0.5	0.5	13.7	0.3	0.26	0.09	0.09	87.8	6.0	5.9
ABELL_1914	1.37	9.8	0.3	0.3	32.6	0.3	0.34	0.05	0.05	10.69	0.09	0.07	8.9	0.6	0.6	12.4	0.2	0.28	0.09	0.09	94.8	6.4	5.9
ABELL_1942	0.94	4.3	0.3	0.2	3.9	0.1	0.27	0.08	0.08	3.59	0.03	0.03	3.9	0.2	0.2	2.9	0.1	0.20	0.09	0.08	13.8	0.9	0.9
ABELL_2034	1.22	6.7	0.2	0.2	9.0	0.1	0.38	0.04	0.04	6.88	0.02	0.03	6.4	0.2	0.2	6.2	0.1	0.36	0.05	0.05	44.1	1.4	1.4
ABELL_2069	1.20	6.3	0.2	0.2	6.1	0.1	0.29	0.05	0.05	6.56	0.03	0.03	6.2	0.3	0.3	5.1	0.1	0.26	0.06	0.05	40.8	1.7	1.7
ABELL_2111	1.18	6.8	0.9	0.5	10.7	0.4	0.23	0.15	0.15	7.44	0.10	0.05	6.6	0.9	0.7	7.7	0.3	0.20	0.19	0.18	49.0	6.7	5.1
ABELL_2125	0.77	2.6	0.1	0.1	1.7	0.1	0.21	0.08	0.07	2.19	0.03	0.02	2.5	0.2	0.2	1.5	0.1	0.20	0.08	0.07	5.4	0.4	0.4
