# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.01   1.46  1.91  0.00  0.00  4.51  2.51 10.01  0.00  0.00  1.28   3.12e-04   2.26e-04   3.96e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.025   15.1  26.25     36
ABELL_0370                   515   0.02   1.96  3.37  0.00  0.00  7.35  6.51  8.07  0.45  0.22  0.51   2.30e-03   2.25e-03   2.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.296   39.2 311.44    288
ABELL_1682                  3244   0.02   3.10  1.10  0.00  0.00  5.89  4.73  7.63  0.32  0.00  0.74   3.81e-03   3.44e-03   4.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.361   60.4  91.14     84
ABELL_1758                  2213   0.02   2.51  1.09  0.00  0.00  8.78  7.93  9.67  0.53  0.40  0.59   4.59e-03   4.52e-03   4.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.626   59.6 384.61    347
ABELL_2111                   544   0.02   2.90  2.20  0.00  0.00  7.49  6.40  8.92  0.20  0.00  0.43   3.85e-03   3.65e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.397   64.3 146.72    138
CL_0024+17                   929   0.01   1.55  4.36  0.00  0.00  4.10  3.40  4.99  0.47  0.15  0.89   5.83e-04   5.14e-04   6.66e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.066   19.3 131.24     98
CL_J0030+2618               5762   0.01   2.06  4.10  0.00  0.00  8.06  4.68 17.15  0.00  0.00  0.87   6.36e-04   5.22e-04   7.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.041   45.9  26.96     32
CL_J0152-1357                913   0.22   1.70  1.45  0.00  0.00  7.33  5.56 10.11  0.00  0.00  0.24   7.45e-04   6.88e-04   8.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.038   36.2  56.35     63
CL_J0848+4456                927   0.01   0.78  2.53  0.00  0.00  3.34  2.53  4.60  0.00  0.00  0.40   8.91e-05   7.49e-05   1.01e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.004   32.9  25.36     29
CL_J1113.1-2615              915   0.01   1.39  5.51  0.00  0.00  4.19  3.17  5.80  0.46  0.02  1.09   2.10e-04   1.78e-04   2.44e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.011   23.7  73.93     73
CL_J1226.9+3332              932   0.01   1.53  1.37  0.00  0.00 16.34  9.18 41.32  0.60  0.00  2.35   1.23e-03   1.00e-03   1.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.098   24.6  12.43     34
CL_J2302.8+0844              918   0.01   1.64  5.05  0.00  0.00  6.57  4.64 10.11  0.15  0.00  0.54   2.56e-04   2.29e-04   2.85e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.015   20.1  90.19    101
IRAS_09104+4109              509   0.01   1.98  1.36  0.00  0.00 10.07  7.14 16.53  1.83  0.65  3.56   2.05e-03   1.65e-03   2.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.306   23.9 183.18    162
LYNX_E                      9271   0.01   0.52  2.53  0.00  0.00  5.35  3.41 10.54  1.64  0.09 10.64   3.86e-05   1.36e-05   5.52e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.002   30.5   9.34     12
MACS_J1319+7003             3278   0.02   1.68  1.53  0.00  0.00  8.63  7.04 11.13  0.20  0.00  0.51   1.74e-03   1.62e-03   1.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.154   76.1  92.51     82
MACS_J1427.6-2521           3279   0.02   2.07  6.11  0.00  0.00  5.42  4.42  6.85  0.12  0.00  0.44   1.18e-03   1.08e-03   1.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.107   69.2  85.76     71
MACS_J2311+0338             3288   0.02   1.30  5.23  0.00  0.00  8.85  7.65 10.43  0.54  0.32  0.81   3.13e-03   2.96e-03   3.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.289   90.5 117.36    112
MS_0440.5+0204              4196   0.02   3.02  9.10  0.00  0.00  4.87  3.69  5.83  0.37  0.18  0.57   2.29e-03   2.10e-03   2.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.262   17.5 194.89    163
MS_2053.7-0449              1667   0.01   1.81  5.16  0.00  0.00  4.10  3.20  5.60  0.19  0.00  0.63   4.42e-04   3.88e-04   5.12e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.023   26.6  42.51     59
RX_J0439.0+0715             1449   0.02   3.06  1.10  0.00  0.00  9.90  8.15 12.50  0.66  0.23  1.15   4.84e-03   4.46e-03   5.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2400  0.559   65.3 138.85    122
RX_J0820.9+0752             1647   0.04   3.03  2.37  0.00  0.00  2.64  1.71  3.81  0.36  0.08  0.55   2.40e-03   1.90e-03   2.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1100  0.332   29.3  27.16     32
RX_J0910+5422               2227   0.01   0.86  2.07  0.00  0.00  6.16  3.35 14.12  0.00  0.00  0.55   7.83e-05   6.30e-05   1.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1000  0.003   30.4  23.26     24
RX_J1053+5735               4936   0.01   0.49  0.59  0.00  0.00  7.55  3.94 23.89  0.36  0.00  1.98   5.42e-05   3.95e-05   7.08e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1400  0.003   13.9  19.10     17
ZWCL_1358+6245               516   0.02   2.14  1.94  0.00  0.00  9.02  7.89 10.49  0.33  0.10  0.56   2.34e-03   2.24e-03   2.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3280  0.301   39.0 225.86    218
