# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.01   1.46  1.91  0.00  0.00  5.07  0.08 23.25  0.00  0.00  1.70   3.11e-04   2.39e-04   5.56e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.013   15.1  22.86     26
ABELL_0370                   515   0.02   1.96  3.37  0.00  0.00 10.35  8.08 12.24  0.39  0.18  0.60   2.21e-03   2.10e-03   2.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.131   39.2 246.51    236
ABELL_1682                  3244   0.02   3.10  1.10  0.00  0.00 10.38  6.02 28.26  0.30  0.00  1.23   3.34e-03   2.82e-03   3.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.163   60.4  62.67     52
ABELL_1758                  2213   0.02   2.51  1.09  0.00  0.00 11.16  9.02 14.24  0.50  0.25  0.64   4.46e-03   4.30e-03   4.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.261   59.6 312.88    287
ABELL_2111                   544   0.02   2.90  2.20  0.00  0.00 12.15  8.64 20.48  0.11  0.00  0.50   3.55e-03   3.28e-03   3.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.173   64.3  60.61     75
CL_0024+17                   929   0.01   1.55  4.36  0.00  0.00  7.18  4.02 15.09  0.21  0.00  0.83   5.26e-04   4.42e-04   6.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.027   19.3  87.92     61
CL_J0030+2618               5762   0.01   2.06  4.10  0.00  0.00 12.14  5.16 76.46  0.00  0.00  0.91   5.65e-04   4.85e-04   6.76e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.026   45.9  22.56     23
CL_J0152-1357                913   0.22   1.70  1.45  0.00  0.00  7.31  5.29 10.74  0.00  0.00  0.24   7.45e-04   6.70e-04   8.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.029   36.2  52.26     52
CL_J0848+4456                927   0.01   0.78  2.53  0.00  0.00  2.94  2.04  4.57  0.00  0.00  0.38   9.93e-05   7.38e-05   1.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.002   32.9  19.49     20
CL_J1113.1-2615              915   0.01   1.39  5.51  0.00  0.00  4.10  2.66  6.57  0.50  0.02  1.59   2.08e-04   1.69e-04   2.53e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.007   23.7  62.72     58
CL_J1226.9+3332              932   0.01   1.53  1.37  0.00  0.00 14.60  7.40 45.09  0.52  0.00  2.40   1.26e-03   1.00e-03   1.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.069   24.6   9.04     26
CL_J2302.8+0844              918   0.01   1.64  5.05  0.00  0.00  9.13  5.63 17.98  0.05  0.00  0.54   2.36e-04   2.04e-04   2.67e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.010   20.1  72.85     82
IRAS_09104+4109              509   0.01   1.98  1.36  0.00  0.00 10.08  5.36 21.64  1.68  0.49  3.70   2.13e-03   1.60e-03   2.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.150   23.9 151.82    117
LYNX_E                      9271   0.01   0.52  2.53  0.00  0.00  5.38  3.30 11.24  1.63  0.09 11.72   3.89e-05   1.27e-05   5.60e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.001   30.5   9.34     11
MACS_J1319+7003             3278   0.02   1.68  1.53  0.00  0.00 10.62  7.40 17.97  0.15  0.00  0.54   1.67e-03   1.53e-03   1.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.081   76.1  65.72     53
MACS_J1427.6-2521           3279   0.02   2.07  6.11  0.00  0.00  9.56  5.73 19.39  0.01  0.00  0.52   1.01e-03   8.82e-04   1.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.047   69.2  47.15     39
MACS_J2311+0338             3288   0.02   1.30  5.23  0.00  0.00 13.65 10.32 20.12  0.70  0.35  1.20   2.84e-03   2.62e-03   3.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.151   90.5  71.24     65
MS_0440.5+0204              4196   0.02   3.02  9.10  0.00  0.00  3.90  2.84  4.63  0.01  0.00  0.28   2.88e-03   2.65e-03   3.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.098   17.5  91.83     95
MS_2053.7-0449              1667   0.01   1.81  5.16  0.00  0.00  4.79  3.31  7.66  0.10  0.00  0.55   4.21e-04   3.55e-04   5.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.014   26.6  28.62     44
RX_J0439.0+0715             1449   0.02   3.06  1.10  0.00  0.00 10.51  7.47 16.97  0.70  0.23  1.30   4.68e-03   4.21e-03   5.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2400  0.245   65.3  61.01     62
RX_J0820.9+0752             1647   0.04   3.03  2.37  0.00  0.00  1.46  0.90  2.17 606.86 89.05 1000.00   1.27e-05   0.00e+00   4.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1100  0.065   29.3   3.42     12
RX_J0910+5422               2227   0.01   0.86  2.07  0.00  0.00  8.12  3.90 28.22  0.00  0.00  0.78   6.91e-05   5.47e-05   9.45e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1000  0.002   30.4  18.98     21
RX_J1053+5735               4936   0.01   0.49  0.59  0.00  0.00  6.92  3.40 25.00  0.30  0.00  1.84   5.71e-05   4.02e-05   7.99e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1400  0.002   13.9  12.42     15
ZWCL_1358+6245               516   0.02   2.14  1.94  0.00  0.00 10.19  7.95 15.02  0.34  0.03  0.62   2.24e-03   2.11e-03   2.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3280  0.130   39.0 168.30    162
