# Model: wabs(mekal) for r2500 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.00   1.46  1.91  0.00  0.00  8.47  5.52 15.36  0.00  0.00  0.32   8.40e-04   7.89e-04   9.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.043   30.1  39.93     42
ABELL_0370                   515   0.00   1.96  3.37  0.00  0.00 10.45  8.18 12.40  0.44  0.18  0.61   2.24e-03   2.17e-03   2.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.135   39.8 246.72    240
ABELL_1682                  3244   0.00   3.10  1.10  0.00  0.00 10.71  6.29 29.67  0.31  0.00  1.29   3.41e-03   2.88e-03   3.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.168   61.0  67.36     52
ABELL_1758                  2213   0.00   2.51  1.09  0.00  0.00 11.59  8.70 13.86  0.51  0.31  0.66   4.50e-03   4.37e-03   4.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.264   59.8 312.26    288
ABELL_2111                   544   0.00   2.90  2.20  0.00  0.00  8.49  6.07 12.86  0.00  0.00  0.29   2.81e-03   2.58e-03   3.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.122   56.3  49.62     59
CL_0024+17                   929   0.00   1.55  4.36  0.00  0.00  7.61  4.47 15.09  0.26  0.00  0.96   5.73e-04   4.85e-04   6.94e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.030   21.2  82.42     66
CL_J0030+2618               5762   0.00   2.06  4.10  0.00  0.00 14.50  5.24 79.90  0.00  0.00  1.20   5.72e-04   4.58e-04   6.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.026   46.8  23.31     23
CL_J0152-1357                913   0.00   1.70  1.45  0.00  0.00  7.00  5.12 10.24  0.00  0.00  0.19   7.73e-04   6.92e-04   8.75e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.030   36.5  46.21     52
CL_J0848+4456                927   0.00   0.78  2.53  0.00  0.00  2.91  2.09  4.19  0.00  0.00  0.43   1.23e-04   9.47e-05   1.69e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.003   35.5  12.92     22
CL_J1113.1-2615              915   0.00   1.39  5.51  0.00  0.00  4.10  2.98  5.90  0.70  0.25  1.17   2.27e-04   1.91e-04   2.74e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.009   25.7  71.93     62
CL_J1226.9+3332              932   0.00   1.53  1.37  0.00  0.00 10.06  6.01 21.83  0.61  0.00  1.66   1.39e-03   1.13e-03   1.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.073   16.0   8.36     26
CL_J2302.8+0844              918   0.00   1.64  5.05  0.00  0.00  8.00  5.32 15.08  0.20  0.00  0.41   2.55e-04   2.26e-04   2.91e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.011   21.3  77.99     82
IRAS_09104+4109              509   0.00   1.98  1.36  0.00  0.00  9.25  5.64 16.30  1.06  0.35  2.11   3.50e-03   2.93e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.227   34.5 155.64    131
LYNX_E                      9271   0.00   0.52  2.53  0.00  0.00  6.32  3.79 15.49  0.66  0.00  2.60   5.41e-05   3.79e-05   7.20e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.002   32.9   6.98     13
MACS_J1319+7003             3278   0.00   1.68  1.53  0.00  0.00 11.16  7.85 18.68  0.14  0.00  0.51   1.87e-03   1.71e-03   2.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.089   77.6  66.12     56
MACS_J1427.6-2521           3279   0.00   2.07  6.11  0.00  0.00  6.78  5.13 10.22  0.24  0.00  0.55   1.60e-03   1.44e-03   1.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.073   77.7  77.06     51
