# Model: wabs(mekal) for r5000 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.00   1.03  1.91  0.00  0.00  8.91  6.22 14.45  0.00  0.00  0.27   8.24e-04   7.47e-04   9.21e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.044   44.3  25.85     35
ABELL_0370                   515   0.00   1.39  3.37  0.00  0.00  9.97  8.50 12.10  0.36  0.21  0.53   1.89e-03   1.80e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.112   51.0 192.78    187
ABELL_1682                  3244   0.00   2.19  1.10  0.00  0.00  8.83  5.58 17.56  0.51  0.00  1.38   2.64e-03   2.23e-03   3.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.129   71.0  32.75     36
ABELL_1758                  2213   0.00   1.78  1.09  0.00  0.00  9.84  8.08 11.09  0.43  0.22  0.55   3.55e-03   3.41e-03   3.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.201   69.3 237.33    237
ABELL_2111                   544   0.00   2.06  2.20  0.00  0.00  7.93  5.41 13.11  0.00  0.00  0.42   1.57e-03   1.40e-03   1.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.066   58.7  28.39     33
CL_0024+17                   929   0.00   1.10  4.36  0.00  0.00  6.86  4.47 11.46  0.23  0.00  0.73   4.95e-04   4.21e-04   5.84e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.025   31.4  49.50     45
CL_J0030+2618               5762   0.00   1.45  4.10  0.00  0.00  8.06  4.75 20.40  0.00  0.00  0.41   5.15e-04   4.29e-04   6.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.020   58.6   8.74     15
CL_J0152-1357                913   0.00   0.58  1.45  0.00  0.00  7.31  4.31 15.17  0.00  0.00  0.73   1.58e-04   1.30e-04   1.98e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.006   49.2  31.34     10
CL_J0848+4456                927   0.00   0.55  2.53  0.00  0.00  3.24  2.43  4.82  0.41  0.00  1.47   7.41e-05   5.41e-05   1.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.002   45.7  12.76     14
CL_J1113.1-2615              915   0.00   0.98  5.51  0.00  0.00  4.76  3.73  6.33  0.66  0.29  1.18   2.12e-04   1.83e-04   2.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.008   35.2  46.45     43
CL_J1226.9+3332              932   0.00   1.09  1.37  0.00  0.00 16.39  9.97 35.36  0.70  0.00  2.38   1.29e-03   1.05e-03   1.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.074   45.3  15.50     24
CL_J2302.8+0844              918   0.00   1.16  5.05  0.00  0.00 11.85  7.53 20.12  0.08  0.00  0.51   2.33e-04   2.11e-04   2.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.010   35.9  51.68     59
IRAS_09104+4109              509   0.00   1.40  1.36  0.00  0.00  8.67  6.16 12.36  1.03  0.52  1.73   3.23e-03   2.82e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.208   49.8 107.85     88
LYNX_E                      9271   0.00   0.37  2.53  0.00  0.00  5.32  2.90 10.15  0.00  0.00  1.98   5.03e-05   3.83e-05   7.06e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.001   42.1   3.62      8
MACS_J1319+7003             3278   0.00   1.19  1.53  0.00  0.00 10.82  7.68 15.06  0.14  0.00  0.50   1.55e-03   1.42e-03   1.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.075   85.1  40.78     44
MACS_J1427.6-2521           3279   0.00   1.46  6.11  0.00  0.00  6.19  4.82  8.52  0.18  0.00  0.45   1.56e-03   1.41e-03   1.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.068   86.5  72.91     44
MACS_J2311+0338             3288   0.00   0.92  5.23  0.00  0.00  9.84  7.81 13.23  0.60  0.33  0.95   2.47e-03   2.27e-03   2.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.126   94.1  47.09     54
MS_0440.5+0204              4196   0.00   2.51  9.10  0.00  0.00  4.66  3.40  5.06  0.37  0.00  0.52   3.32e-03   2.99e-03   3.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.135   33.9  86.78     95
MS_2053.7-0449              1667   0.00   1.28  5.16  0.00  0.00  5.13  3.78  7.54  0.13  0.00  0.47   4.39e-04   3.82e-04   5.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.015   42.8  29.12     34
RX_J0439.0+0715             1449   0.00   2.17  1.10  0.00  0.00 11.63  8.42 18.44  0.40  0.00  0.86   5.03e-03   4.62e-03   5.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2400  0.254   79.8  81.27     59
RX_J0820.9+0752             1647   0.00   3.03  2.37  0.00  0.00  1.64  0.66  2.22  0.65  0.00 45.22   4.45e-03   0.00e+00   8.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1100  0.094   37.3  12.68     15
RX_J0910+5422               2227   0.00   0.61  2.07  0.00  0.00  4.56  2.80  8.82  0.33  0.00  2.02   7.77e-05   5.65e-05   1.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1000  0.002   43.1   4.28     14
RX_J1053+5735               4936   0.00   0.35  0.59  0.00  0.00  8.32  4.51 24.51  2.55  0.27  9.02   3.48e-05   1.77e-05   5.21e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1400  0.002   19.7  10.73     11
ZWCL_1358+6245               516   0.00   1.51  1.94  0.00  0.00  8.96  7.00 10.01  0.51  0.30  0.65   2.38e-03   2.31e-03   2.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3280  0.140   58.3 152.53    148
