# Model: wabs(mekal) for r2500 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.00   1.46  1.91  0.00  0.00  6.12  4.64  8.27  0.00  0.00  0.21   9.45e-04   8.84e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.082   30.1  55.24     62
ABELL_0370                   515   0.00   1.96  3.37  0.00  0.00  7.34  6.54  8.05  0.44  0.23  0.51   2.38e-03   2.33e-03   2.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.305   39.8 305.72    292
ABELL_1682                  3244   0.00   3.10  1.10  0.00  0.00  5.76  4.67  7.35  0.34  0.01  0.75   3.93e-03   3.55e-03   4.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.372   61.0  98.16     85
ABELL_1758                  2213   0.00   2.51  1.09  0.00  0.00  8.83  7.83  9.57  0.52  0.39  0.59   4.67e-03   4.60e-03   4.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.634   59.8 383.65    348
ABELL_2111                   544   0.00   2.90  2.20  0.00  0.00  6.14  5.21  7.37  0.07  0.00  0.31   3.07e-03   2.87e-03   3.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.293   56.3 108.09    110
CL_0024+17                   929   0.00   1.55  4.36  0.00  0.00  3.96  3.36  4.68  0.56  0.25  0.96   6.48e-04   5.74e-04   7.31e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.075   21.2 126.34    106
CL_J0030+2618               5762   0.00   2.06  4.10  0.00  0.00  7.19  4.56 16.71  0.25  0.00  1.19   6.23e-04   5.15e-04   7.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.042   46.8  30.27     33
CL_J0152-1357                913   0.00   1.70  1.45  0.00  0.00  6.94  5.35  9.46  0.00  0.00  0.18   7.76e-04   7.16e-04   8.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.040   36.5  53.53     65
CL_J0848+4456                927   0.00   0.78  2.53  0.00  0.00  3.67  2.81  4.89  0.00  0.00  0.25   9.94e-05   8.74e-05   1.14e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.005   35.5  21.65     32
CL_J1113.1-2615              915   0.00   1.39  5.51  0.00  0.00  4.25  3.33  5.60  0.58  0.25  1.02   2.33e-04   1.98e-04   2.68e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.013   25.7  90.65     78
CL_J1226.9+3332              932   0.00   1.53  1.37  0.00  0.00 10.98  7.24 20.64  0.70  0.00  1.74   1.32e-03   1.13e-03   1.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.108   16.0  16.06     36
CL_J2302.8+0844              918   0.00   1.64  5.05  0.00  0.00  6.19  4.55  9.01  0.25  0.00  0.61   2.75e-04   2.50e-04   3.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.016   21.3  96.81    103
IRAS_09104+4109              509   0.00   1.98  1.36  0.00  0.00  6.51  5.17  8.43  0.89  0.41  1.52   3.70e-03   3.29e-03   4.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.497   34.5 189.64    179
LYNX_E                      9271   0.00   0.52  2.53  0.00  0.00  6.40  3.97 14.88  0.70  0.00  2.54   5.34e-05   3.79e-05   7.00e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.002   32.9   6.99     14
MACS_J1319+7003             3278   0.00   1.68  1.53  0.00  0.00  9.07  7.44 11.67  0.20  0.00  0.50   1.91e-03   1.79e-03   2.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.171   77.6  93.04     89
MACS_J1427.6-2521           3279   0.00   2.07  6.11  0.00  0.00  4.71  4.14  5.42  0.27  0.07  0.51   1.87e-03   1.74e-03   2.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.171   77.7 137.17    101
MACS_J2311+0338             3288   0.00   1.30  5.23  0.00  0.00  8.35  7.31  9.67  0.47  0.27  0.69   3.52e-03   3.35e-03   3.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.321   91.2 122.96    123
MS_0440.5+0204              4196   0.00   3.02  9.10  0.00  0.00  5.07  4.26  5.71  0.72  0.50  0.82   2.83e-03   2.65e-03   2.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.353   24.3 209.22    176
MS_2053.7-0449              1667   0.00   1.81  5.16  0.00  0.00  4.33  3.40  5.81  0.10  0.00  0.48   5.00e-04   4.46e-04   5.69e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.026   28.5  43.62     62
RX_J0439.0+0715             1449   0.00   3.06  1.10  0.00  0.00  9.90  8.21 12.29  0.52  0.14  0.93   5.62e-03   5.23e-03   6.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2400  0.638   68.1 158.41    132
