# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.01   1.03  1.91  0.00  0.00  6.72  2.94 17.90  0.00  0.00  1.17   2.71e-04   1.92e-04   3.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.013   22.6  10.48     17
ABELL_0370                   515   0.02   1.39  3.37  0.00  0.00 10.15  8.63 12.32  0.39  0.23  0.57   1.80e-03   1.72e-03   1.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.108   50.4 185.88    183
ABELL_1682                  3244   0.02   2.19  1.10  0.00  0.00  8.61  5.48 16.20  0.65  0.14  1.56   2.52e-03   2.11e-03   2.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.124   70.4  39.07     35
ABELL_1758                  2213   0.02   1.78  1.09  0.00  0.00  9.90  8.01 11.12  0.50  0.26  0.60   3.43e-03   3.33e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.198   69.1 226.26    235
ABELL_2111                   544   0.02   2.06  2.20  0.00  0.00  7.68  5.27 12.18  0.00  0.00  0.42   1.58e-03   1.40e-03   1.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.066   58.8  29.20     33
CL_0024+17                   929   0.01   1.10  4.36  0.00  0.00  7.14  4.31 12.56  0.30  0.00  0.86   4.12e-04   3.49e-04   5.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.021   28.5  39.66     41
CL_J0030+2618               5762   0.01   1.45  4.10  0.00  0.00  7.25  4.28 17.60  0.00  0.00  0.45   5.07e-04   4.18e-04   6.34e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.020   57.7  19.36     15
CL_J0152-1357                913   0.01   0.58  1.45  0.00  0.00  6.07  3.56 12.23  0.00  0.00  0.72   1.55e-04   1.24e-04   2.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.005   49.3  29.32      9
CL_J0848+4456                927   0.01   0.55  2.53  0.00  0.00  3.19  2.09  5.27  0.00  0.00  1.00   7.01e-05   5.09e-05   8.88e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.002   42.4   6.50     12
CL_J1113.1-2615              915   0.01   0.98  5.51  0.00  0.00  4.79  3.53  5.94  0.52  0.11  1.15   1.79e-04   1.56e-04   2.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.007   32.2  39.33     39
CL_J1226.9+3332              932   0.01   1.09  1.37  0.00  0.00 14.72  8.78 33.07  0.69  0.00  2.37   1.14e-03   9.22e-04   1.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.066   42.2  13.87     22
CL_J2302.8+0844              918   0.01   1.16  5.05  0.00  0.00 11.83  7.84 20.91  0.15  0.00  0.70   2.11e-04   1.87e-04   2.34e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.010   34.3  48.57     57
IRAS_09104+4109              509   0.01   1.40  1.36  0.00  0.00  7.18  4.52 11.58  1.01  0.43  1.99   2.16e-03   1.77e-03   2.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.136   36.4  91.00     74
