# Cluster                  ObsID BgdCCD     ObsCts    DeepCts    Obs/Qui   Deep/Qui   Obs/Deep
1E0657_56                   3184      6     0.0793     0.0701     0.2863     0.2529     1.1319
1E0657_56                   5356      6     0.0848     0.0701     0.3141     0.2596     1.2099
1E0657_56                   5361      6     0.0840     0.0701     0.3031     0.2529     1.1986
1RXS_J2129.4-0741           3199      6     0.0929     0.0701     0.3353     0.2529     1.3258
1RXS_J2129.4-0741           3595      6     0.0767     0.0701     0.2768     0.2529     1.0943
2A_0335+096                  919      2     0.1131     0.1065     0.0888     0.0835     1.0626
2PIGG_J0011.5-2850          5797      6     0.0889     0.0699     0.3207     0.2521     1.2720
2PIGG_J0311.8-2655          5799      6     0.0934     0.0699     0.3369     0.2521     1.3365
2PIGG_J2227.0-3041          5798      6     0.0862     0.0699     0.3194     0.2588     1.2341
3C_220.1                     839      2     0.1194     0.1180     0.0829     0.0819     1.0116
3C_28.0                     3233      6     0.0742     0.0701     0.2678     0.2529     1.0589
3C_295                      2254      6     0.0748     0.0701     0.2700     0.2529     1.0675
3C_295                       578      3     1.0000     1.0000     1.0000     1.0000     1.0000
3C_388                      5295      6     0.0711     0.0701     0.2563     0.2529     1.0135
4C_55.16                    4940      2     0.0659     0.0653     0.0612     0.0606     1.0101
ABELL_0013                  4945      3     0.0836     0.0713     0.0776     0.0662     1.1720
ABELL_0085                   904      6     0.1180     0.1194     0.3455     0.3496     0.9883
ABELL_0119                  4180      6     0.0873     0.0699     0.3148     0.2521     1.2487
ABELL_0133                  2203      2     0.1027     0.1057     0.0805     0.0829     0.9710
ABELL_0168                  3203      6     0.0749     0.0699     0.2703     0.2521     1.0720
ABELL_0168                  3204      6     0.0805     0.0699     0.2903     0.2521     1.1513
ABELL_0189                  2880      3     0.0680     0.1141     0.0631     0.1059     0.5960
ABELL_0209                  3579      6     0.0763     0.0699     0.2753     0.2521     1.0919
ABELL_0209                   522      6     0.0647     0.1205     0.1840     0.3424     0.5373
ABELL_0370                   515      2     0.1194     0.1173     0.0829     0.0815     1.0179
ABELL_0383                  2321      2     0.1069     0.1057     0.0838     0.0829     1.0109
ABELL_0399                  3230      6     0.0771     0.0701     0.2882     0.2622     1.0993
ABELL_0401                  2309      7     0.6201     0.6180     1.8059     1.7998     1.0034
ABELL_0401                   518      6     0.1407     0.1123     0.3252     0.2594     1.2534
ABELL_0426                  3209      3     0.1153     0.1198     0.0875     0.0909     0.9629
ABELL_0426                  4289      3     0.1178     0.1198     0.0894     0.0909     0.9835
ABELL_0478                  1669      2     0.1038     0.1139     0.0787     0.0865     0.9106
ABELL_0478                  6102      6     0.1066     0.0701     0.3847     0.2529     1.5213
ABELL_0496                  3361      2     0.0642     0.0653     0.0596     0.0606     0.9829
ABELL_0514                  3578      6     0.0753     0.0699     0.2715     0.2521     1.0768
ABELL_0520                  4215      6     0.0786     0.0701     0.2834     0.2529     1.1207
ABELL_0576                  3289      2     0.0630     0.0653     0.0585     0.0606     0.9649
ABELL_0586                   530      6     0.1256     0.1186     0.3571     0.3371     1.0591
ABELL_0611                  3194      3     0.0736     0.0696     0.0683     0.0647     1.0569
ABELL_0644                  2211      6     0.0850     0.0701     0.3067     0.2529     1.2128
ABELL_0665                  3586      6     0.0788     0.0701     0.2842     0.2529     1.1237
ABELL_0697                  4217      6     0.0740     0.0701     0.2671     0.2529     1.0562
ABELL_0753                  4999      6     0.0811     0.0699     0.2926     0.2521     1.1605
ABELL_0753                  5000      6     0.0857     0.0699     0.3090     0.2521     1.2258
ABELL_0754                   577      7     0.9497     0.7335     2.3712     1.8316     1.2946
ABELL_0773                  5006      6     0.0824     0.0701     0.2973     0.2529     1.1757
ABELL_0781                   534      6     0.1156     0.1186     0.3284     0.3371     0.9742
ABELL_0851                  3191      6     0.0755     0.0699     0.2725     0.2521     1.0808
ABELL_0907                  3185      6     0.0751     0.0848     0.2708     0.3059     0.8854
ABELL_0907                  3205      6     0.0779     0.0848     0.2810     0.3059     0.9186
ABELL_0907                   535      6     0.0682     0.1201     0.1939     0.3413     0.5682
ABELL_0963                   903      2     0.1061     0.1057     0.0832     0.0829     1.0035
ABELL_1060                  2220      6     0.0800     0.0701     0.2886     0.2529     1.1414
ABELL_1063S                 4966      6     0.0857     0.0701     0.3092     0.2529     1.2226
ABELL_1068                  1652      2     0.1018     0.1139     0.0773     0.0865     0.8934
ABELL_1201                  4216      3     0.0830     0.0696     0.0771     0.0647     1.1918
ABELL_1204                  2205      6     0.0731     0.0701     0.2637     0.2529     1.0429
ABELL_1413                  5003      6     0.0814     0.0701     0.3013     0.2596     1.1605
ABELL_1423                   538      6     0.1160     0.1186     0.3296     0.3371     0.9776
ABELL_1644                  2206      6     0.1191     0.1388     0.2944     0.3432     0.8578
ABELL_1644                  7922      6     0.1128     0.0848     0.4067     0.3059     1.3298
ABELL_1650                  4178      3     0.0696     0.0696     0.0646     0.0647     0.9999
ABELL_1651                  4185      6     0.0773     0.0701     0.2789     0.2529     1.1028
ABELL_1664                  1648      3     0.0700     0.0696     0.0650     0.0647     1.0056
ABELL_1682                  3244      6     0.1521     0.0701     0.5487     0.2529     2.1695
ABELL_1689                  1663      6     0.1206     0.1389     0.2982     0.3433     0.8687
ABELL_1689                  5004      6     0.0802     0.0701     0.2894     0.2529     1.1442
ABELL_1689                   540      6     0.1321     0.1205     0.3754     0.3424     1.0961
ABELL_1736                  4186      6     0.0772     0.0840     0.2814     0.3062     0.9191
ABELL_1758                  2213      2     0.0701     0.0653     0.0651     0.0606     1.0741
ABELL_1763                  3591      6     0.0776     0.0701     0.2799     0.2529     1.1069
ABELL_1795                   493      2     0.0657     0.0867     0.0516     0.0680     0.7578
ABELL_1795                  5289      7     0.5858     0.5513     2.1131     1.9889     1.0624
ABELL_1835                   495      2     0.1279     0.1173     0.0888     0.0815     1.0900
ABELL_1914                  3593      6     0.0718     0.0701     0.2591     0.2529     1.0245
ABELL_1942                  3290      6     0.0740     0.0701     0.2742     0.2596     1.0561
ABELL_1991                  3193      2     0.0650     0.0653     0.0604     0.0606     0.9962
ABELL_2029                  4977      2     0.1069     0.1139     0.0811     0.0865     0.9380
ABELL_2029                  6101      6     0.0945     0.0701     0.3408     0.2529     1.3475
ABELL_2029                   891      2     0.1155     0.1055     0.0906     0.0828     1.0946
ABELL_2034                  2204      6     0.0763     0.0701     0.2751     0.2529     1.0878
ABELL_2052                  5807      3     0.0953     0.1141     0.0885     0.1059     0.8351
ABELL_2052                   890      2     0.0981     0.1065     0.0770     0.0835     0.9215
ABELL_2063                  4187      6     0.1726     0.0699     0.6227     0.2521     2.4701
ABELL_2063                  6263      3     0.0859     0.1141     0.0797     0.1059     0.7526
ABELL_2069                  4965      6     0.0876     0.0701     0.3244     0.2596     1.2495
ABELL_2104                   895      2     0.1014     0.1057     0.0795     0.0829     0.9591
ABELL_2111                   544      6     0.1304     0.1194     0.3706     0.3393     1.0921
ABELL_2125                  2207      6     0.0732     0.0701     0.2641     0.2529     1.0443
ABELL_2142                  1196      3     1.0000     1.0000     1.0000     1.0000     1.0000
ABELL_2142                  1228      3     1.0000     1.0000     1.0000     1.0000     1.0000
ABELL_2142                  5005      6     0.0886     0.0699     0.3195     0.2521     1.2674
ABELL_2163                  1653      6     0.0879     0.0701     0.3204     0.2556     1.2537
ABELL_2199                   497      2     0.1159     0.1057     0.0909     0.0829     1.0960
ABELL_2218                  1666      6     0.0796     0.0701     0.2978     0.2622     1.1359
ABELL_2219                   896      2     0.1129     0.1057     0.0885     0.0829     1.0675
ABELL_2244                  4179      3     0.0741     0.0696     0.0688     0.0647     1.0636
ABELL_2255                   894      6     0.1219     0.1194     0.3465     0.3393     1.0211
ABELL_2256                  1386      7     1.2190     0.7335     2.8165     1.6949     1.6618
ABELL_2256                  2419      3     0.0000     1.0000     0.0000     1.0000     1.0000
ABELL_2261                  5007      6     0.0730     0.0701     0.2632     0.2529     1.0406
ABELL_2319                  3231      6     0.0807     0.0701     0.2941     0.2556     1.1507
ABELL_2384                  4202      6     0.0671     0.0701     0.2422     0.2529     0.9577
ABELL_2390                  4193      2     0.0638     0.0653     0.0592     0.0606     0.9770
ABELL_2409                  3247      6     0.0727     0.0701     0.2623     0.2529     1.0371
ABELL_2537                  4962      2     0.0798     0.0653     0.0740     0.0606     1.2216
ABELL_2556                  2226      3     0.0712     0.0696     0.0661     0.0647     1.0230
ABELL_2597                   922      2     0.1028     0.1057     0.0806     0.0829     0.9723
ABELL_2626                  3192      3     0.0703     0.0696     0.0652     0.0647     1.0088
ABELL_2631                  3248      6     0.0836     0.0699     0.3015     0.2521     1.1957
ABELL_2634                  4816      2     0.0776     0.0653     0.0720     0.0606     1.1879
ABELL_2667                  2214      3     0.0702     0.0696     0.0652     0.0647     1.0077
ABELL_2717                  6974      6     0.1043     0.0699     0.3763     0.2521     1.4926
ABELL_2744                  2212      2     0.0633     0.0653     0.0588     0.0606     0.9703
ABELL_2744                  7915      6     0.1158     0.0848     0.4177     0.3059     1.3655
ABELL_2744                  8477      6     0.1173     0.0848     0.4231     0.3059     1.3833
ABELL_2744                  8557      6     0.1162     0.0848     0.4192     0.3059     1.3706
ABELL_3112                  2516      3     0.0713     0.0696     0.0662     0.0647     1.0245
ABELL_3128                   893      7     0.7289     0.6180     2.0712     1.7563     1.1793
ABELL_3158                  3201      6     0.0802     0.0701     0.2892     0.2529     1.1436
ABELL_3158                  3712      6     0.0788     0.0840     0.2841     0.3030     0.9378
ABELL_3164                  6955      6     0.1139     0.0699     0.4108     0.2521     1.6296
ABELL_3266                   899      6     0.1131     0.1186     0.3235     0.3392     0.9535
ABELL_3376                  3202      6     0.0810     0.0699     0.2921     0.2521     1.1587
ABELL_3376                  3450      6     0.0945     0.0699     0.3409     0.2521     1.3521
ABELL_3391                  4943      6     0.0911     0.0840     0.3288     0.3030     1.0851
ABELL_3395(1)               4944      6     0.0847     0.0699     0.3055     0.2521     1.2119
ABELL_3558                  1646      3     0.0673     0.0696     0.0625     0.0647     0.9666
ABELL_3562                  4167      6     0.0799     0.0701     0.2958     0.2596     1.1392
ABELL_3571                  4203      2     0.0692     0.0653     0.0642     0.0606     1.0600
ABELL_3667                  5751      6     0.0965     0.0701     0.3483     0.2529     1.3772
ABELL_3667                  5752      6     0.0746     0.0699     0.2691     0.2521     1.0672
ABELL_3667                  5753      6     0.1151     0.0699     0.4152     0.2521     1.6469
ABELL_3667                   889      6     0.1183     0.1205     0.3444     0.3509     0.9816
ABELL_3921                  4973      6     0.0918     0.0699     0.3313     0.2521     1.3141
ABELL_4038                  4992      6     0.0942     0.0701     0.3488     0.2596     1.3435
ABELL_4059                  5785      2     0.0737     0.1067     0.0684     0.0990     0.6909
ABELL_4059                   897      3     0.0000     1.0000     0.0000     1.0000     1.0000
AWM7                         908      6     0.1192     0.1205     0.3386     0.3424     0.9889
CENTAURUS                   4190      2     0.0657     0.0709     0.0610     0.0658     0.9270
CENTAURUS                   4191      2     0.0664     0.0709     0.0616     0.0658     0.9366
