# Model: wabs(mekal) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster           ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm   Tx2  Tlo2  Thi2      Norm2       z     Cr  chisq    dof
2A_0335+096           919   0.00   0.30 18.11  0.00  0.00  1.73  1.69  1.77  0.62  0.56  0.69   6.45e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.853   1.95    161
2A_0335+096           919   0.30   0.46 18.11  0.00  0.00  2.05  2.00  2.10  0.78  0.70  0.87   5.91e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.782   1.42    166
2A_0335+096           919   0.46   0.62 18.11  0.00  0.00  2.27  2.21  2.33  0.79  0.71  0.88   8.39e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.873   1.28    182
2A_0335+096           919   0.62   0.80 18.11  0.00  0.00  2.70  2.63  2.78  0.99  0.89  1.10   7.09e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.762   1.39    182
2A_0335+096           919   0.80   1.02 18.11  0.00  0.00  3.07  2.98  3.16  0.79  0.71  0.88   7.81e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.779   1.44    197
2A_0335+096           919   1.02   1.31 18.11  0.00  0.00  3.40  3.29  3.51  0.81  0.72  0.92   6.70e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.770   1.43    210
2A_0335+096           919   1.31   1.70 18.11  0.00  0.00  3.99  3.84  4.14  0.77  0.68  0.88   6.62e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.781   1.37    227
2A_0335+096           919   1.70   2.19 18.11  0.00  0.00  4.07  3.93  4.22  0.75  0.66  0.86   7.10e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.828   1.16    233
2A_0335+096           919   2.19   4.00 18.11  0.00  0.00  5.41  4.99  5.91  0.83  0.63  1.05   1.11e-02  0.00  0.00  0.00   0.00e+00  0.0347  1.225   1.03    334
ABELL_0133           2203   0.00   0.36  1.58  0.00  0.00  2.31  2.25  2.38  1.12  1.01  1.24   2.17e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.448   1.54    168
ABELL_0133           2203   0.36   0.76  1.58  0.00  0.00  3.03  2.93  3.13  0.89  0.80  1.00   2.56e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.440   1.27    192
ABELL_0133           2203   0.76   1.39  1.58  0.00  0.00  4.07  3.91  4.24  0.62  0.53  0.72   3.14e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.466   1.13    226
ABELL_0133           2203   1.39   2.50  1.58  0.00  0.00  4.75  4.55  5.16  0.49  0.33  0.68   2.90e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.406   0.97    274
ABELL_0262           2215   0.00   0.66  5.46  0.00  0.00  1.34  1.32  1.36  0.45  0.41  0.49   3.32e-03  0.00  0.00  0.00   0.00e+00  0.0163  0.615   2.74    145
ABELL_0262           2215   0.66   1.46  5.46  0.00  0.00  2.13  2.08  2.18  1.10  1.00  1.21   3.14e-03  0.00  0.00  0.00   0.00e+00  0.0163  0.641   1.24    190
