# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
2A_0335+096                  919  0.000  1.210 18.11  0.00  0.00  2.46  2.44  2.49  0.93  0.89  0.96   3.02e-02   2.98e-02   3.06e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.0000  0.0000  5.977   97.5   5.14    339
2PIGG_J0011.5-2850          5797  0.000  0.610  2.18  0.00  0.00  5.15  4.54  5.92  0.52  0.22  0.88   7.77e-04   7.11e-04   8.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.0000  0.0000  0.105   94.9   1.18     50
2PIGG_J2227.0-3041          5798  0.000  0.620  1.11  0.00  0.00  2.08  1.99  2.18  0.64  0.51  0.81   2.15e-03   1.98e-03   2.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.0000  0.0000  0.290   98.0   1.45    100
3C_28.0                     3233  0.000  0.250  5.71  0.00  0.00  2.97  2.82  3.14  0.60  0.47  0.79   9.53e-04   8.86e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.0000  0.0000  0.101   99.2   1.19    124
3C_295                      2254  0.000  0.140  1.35  0.00  0.00  4.15  3.87  4.47  0.74  0.56  0.93   5.82e-04   5.47e-04   6.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.0000  0.0000  0.052   99.5   1.55    116
3C_388                      5295  0.000  0.490  6.11  0.00  0.00  3.06  2.84  3.30  1.23  0.90  1.65   6.61e-04   5.85e-04   7.36e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.0000  0.0000  0.101   97.3   0.96     85
4C_55.16                    4940  0.000  0.220  4.00  0.00  0.00  3.39  3.29  3.50  0.79  0.70  0.89   1.37e-03   1.33e-03   1.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.0000  0.0000  0.217   98.1   1.15    198
ABELL_0013                  4945  0.000  0.500  2.03  0.00  0.00  5.86  5.23  6.63  0.65  0.38  0.96   3.60e-04   3.36e-04   3.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.0000  0.0000  0.070   75.9   1.01     87
ABELL_0068                  3250  0.000  0.210  4.60  0.00  0.00  8.21  5.07 21.50  0.48  0.00  2.94   2.70e-04   1.75e-04   3.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.0000  0.0000  0.026   98.2   0.87      7
ABELL_0085                   904  0.000  0.770  3.65  0.00  0.00  3.88  3.81  3.96  0.81  0.75  0.87   1.04e-02   1.02e-02   1.06e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.0000  0.0000  1.551   99.4   1.12    357
